episode,reward,actor_loss,critic_loss,mean_value,mean_sigma
1,10.146967892505636,-967.3218383789062,0.0,0.0,0.9734546542167664
2,16.253408956846474,-1066.74267578125,0.0,0.0,0.9733304977416992
3,53.648788155027255,984.4346923828125,0.0,0.0,0.9733259081840515
4,17.98358407534017,-1600.288330078125,0.0,0.0,0.9732367992401123
5,28.577890200041782,-833.541015625,0.0,0.0,0.9731711745262146
6,62.38550114503015,2051.82080078125,0.0,0.0,0.9730909466743469
7,7.414191229050826,-1072.0902099609375,0.0,0.0,0.973016083240509
8,10.19075195953928,-851.4185791015625,0.0,0.0,0.9730274677276611
9,19.641242485665828,-671.0076904296875,0.0,0.0,0.973116934299469
10,7.816352078518157,-638.3150024414062,0.0,0.0,0.9732140898704529
11,19.095207879737664,-1170.5672607421875,0.0,0.0,0.9732624888420105
12,14.866447371977237,-951.5546264648438,0.0,0.0,0.973341166973114
13,13.265784792448631,-1072.605712890625,0.0,0.0,0.9733734130859375
14,54.157208856310795,1123.430419921875,0.0,0.0,0.973381757736206
15,19.381986051586914,-996.259033203125,0.0,0.0,0.9733520150184631
16,21.051761341003804,-824.0888671875,0.0,0.0,0.9732936024665833
17,77.05925003266388,3577.03662109375,0.0,0.0,0.973189115524292
18,47.8603880617857,578.3524780273438,0.0,0.0,0.9731135368347168
19,8.112265996766036,-1266.708740234375,0.0,0.0,0.9730126857757568
20,6.846223744899806,-667.7738647460938,0.0,0.0,0.972943127155304
21,66.34084960793058,2077.757568359375,0.0,0.0,0.9727867245674133
22,40.3862578975388,-0.4402198791503906,0.0,0.0,0.9726662635803223
23,23.757862591253723,-716.66845703125,0.0,0.0,0.9725962281227112
24,55.27161659974432,913.158447265625,0.0,0.0,0.9724974632263184
25,6.819047434623986,-575.6143798828125,0.0,0.0,0.9723910689353943
26,9.142637519411831,-638.936767578125,0.0,0.0,0.9722962379455566
27,51.20684002625517,1010.942138671875,0.0,0.0,0.9722722172737122
28,13.2754403042346,-994.73681640625,0.0,0.0,0.9722147583961487
29,5.37195815992316,-799.0880126953125,0.0,0.0,0.9721476435661316
30,57.83045717526228,1662.55029296875,0.0,0.0,0.9721096158027649
31,76.707320872711,3114.767333984375,0.0,0.0,0.9720909595489502
32,49.50489922145911,835.8370361328125,0.0,0.0,0.9721164703369141
33,49.825194136883866,534.2977905273438,0.0,0.0,0.9721196293830872
34,93.43468146424156,5575.65283203125,0.0,0.0,0.9721556305885315
35,53.82213724944413,1230.7491455078125,0.0,0.0,0.9721670150756836
36,63.65134767287122,1762.6556396484375,0.0,0.0,0.9721174240112305
37,55.91864928076234,1285.246826171875,0.0,0.0,0.9720690846443176
38,44.448432620970166,419.27667236328125,0.0,0.0,0.9720154404640198
39,13.143539368867781,-881.8787841796875,0.0,0.0,0.9719350934028625
40,51.98717633093602,830.3505249023438,0.0,0.0,0.9718113541603088
41,86.16811309354237,4261.7109375,0.0,0.0,0.9717296957969666
42,129.67480379698355,13402.5615234375,0.0,0.0,0.9716517329216003
43,61.55083902655098,2063.465087890625,0.0,0.0,0.9715766906738281
44,7.297156534457483,-853.9041137695312,0.0,0.0,0.9714582562446594
45,6.251092013913925,-655.1162719726562,0.0,0.0,0.971305787563324
46,49.95984960625121,776.4052734375,0.0,0.0,0.9711577892303467
47,74.96816133250432,3012.304931640625,0.0,0.0,0.9710238575935364
48,51.02485945530489,872.025146484375,0.0,0.0,0.9708691239356995
49,51.8711849136139,963.4695434570312,0.0,0.0,0.970714807510376
50,49.653803796482926,801.5133056640625,0.0,0.0,0.9706071019172668
51,53.13553794929921,867.865234375,0.0,0.0,0.9704513549804688
52,62.35484814327869,1506.6190185546875,0.0,0.0,0.9702466130256653
53,72.89309814470413,3269.535888671875,0.0,0.0,0.9700695872306824
54,49.99208977489757,1036.5645751953125,0.0,0.0,0.9699446558952332
55,76.86400333043142,3611.43798828125,0.0,0.0,0.9698591828346252
56,92.5375435513591,5103.216796875,0.0,0.0,0.969765841960907
57,60.02193015655635,1571.5926513671875,0.0,0.0,0.969609797000885
58,63.575053338864,2131.55029296875,0.0,0.0,0.9694899916648865
59,35.62885051454144,-129.432373046875,0.0,0.0,0.969403088092804
