episode,reward,actor_loss,critic_loss,mean_value,mean_sigma
1,10.146967892505636,289.7252502441406,0.0,0.0,0.9746995568275452
2,18.064679254871344,701.1533203125,0.0,0.0,0.9751002192497253
3,38.10641428029626,2416.079833984375,0.0,0.0,0.9754190444946289
4,7.589325467227834,134.6597900390625,0.0,0.0,0.9756007194519043
5,26.505867682893356,1680.1929931640625,0.0,0.0,0.9756865501403809
6,11.24580576576699,350.5528869628906,0.0,0.0,0.975836455821991
7,21.180087737473244,1061.72900390625,0.0,0.0,0.9759241938591003
8,28.010213593989324,1375.658447265625,0.0,0.0,0.9759935736656189
9,8.228390483678277,215.9527587890625,0.0,0.0,0.9760745167732239
10,17.200031114191564,868.9390869140625,0.0,0.0,0.9760887622833252
11,24.802440706895514,1181.8824462890625,0.0,0.0,0.9761250019073486
12,40.1399100720817,2783.378173828125,0.0,0.0,0.9761455655097961
13,10.64769340414926,342.83709716796875,0.0,0.0,0.9762210845947266
14,32.34619871710422,1623.0634765625,0.0,0.0,0.9762752652168274
15,19.602395547661754,834.2840576171875,0.0,0.0,0.9763646125793457
16,52.31777060246577,4323.947265625,0.0,0.0,0.976479709148407
17,79.15164686242314,6985.33251953125,0.0,0.0,0.9765529632568359
18,10.655347825563732,70.7706527709961,0.0,0.0,0.976552426815033
19,6.423004995825435,118.94400787353516,0.0,0.0,0.9765440821647644
20,32.72502532608075,1904.5826416015625,0.0,0.0,0.9765026569366455
21,21.743324200773856,1035.9827880859375,0.0,0.0,0.9765307903289795
22,37.62447383132331,2192.427978515625,0.0,0.0,0.9765415787696838
23,12.653128047790169,452.376220703125,0.0,0.0,0.9765490889549255
24,15.169331891471568,506.0438232421875,0.0,0.0,0.9765025973320007
25,10.13175029354956,211.07400512695312,0.0,0.0,0.9764838814735413
26,54.06884458320012,4498.02734375,0.0,0.0,0.9764965176582336
27,10.727819441527336,32.9239501953125,0.0,0.0,0.976478636264801
28,16.29121872544989,575.7037963867188,0.0,0.0,0.9764577746391296
29,76.05505736697205,8061.734375,0.0,0.0,0.9764555096626282
30,48.19871884218217,3546.43701171875,0.0,0.0,0.9764595031738281
31,58.60879149865584,3880.195068359375,0.0,0.0,0.9764201641082764
32,10.828787359879579,325.0505676269531,0.0,0.0,0.9763880372047424
33,45.41999965871269,2984.59814453125,0.0,0.0,0.9763738512992859
34,102.97308962494283,11803.546875,0.0,0.0,0.9763259887695312
35,51.41991382777591,6186.46240234375,0.0,0.0,0.9762239456176758
36,14.42156491230216,480.0041198730469,0.0,0.0,0.9761101603507996
37,68.5095194008207,5105.91162109375,0.0,0.0,0.9759055972099304
38,58.94519014281269,4807.0947265625,0.0,0.0,0.9757997393608093
39,105.38503032013318,14291.8515625,0.0,0.0,0.9756941199302673
40,13.316138391284804,469.8670654296875,0.0,0.0,0.9756180644035339
41,46.39247462930184,3053.486083984375,0.0,0.0,0.9755070209503174
42,49.574109573626394,3983.529541015625,0.0,0.0,0.9754555821418762
43,77.03210830687554,7175.0849609375,0.0,0.0,0.9754144549369812
44,75.90100276844036,6889.1240234375,0.0,0.0,0.9753658175468445
45,182.50701595480254,30877.18359375,0.0,0.0,0.975313663482666
46,48.273310816667845,4055.23046875,0.0,0.0,0.9753208160400391
47,44.696775004073984,3435.39501953125,0.0,0.0,0.975402295589447
48,82.76794587137587,8984.607421875,0.0,0.0,0.9755406379699707
49,112.72840230273778,13191.9208984375,0.0,0.0,0.9756205677986145
50,106.41420298999276,12680.38671875,0.0,0.0,0.9756664633750916
51,33.087069874479106,2018.075439453125,0.0,0.0,0.9757161736488342
52,57.49164665149411,4514.6162109375,0.0,0.0,0.9757814407348633
53,60.71353854942594,7389.85546875,0.0,0.0,0.9758419990539551
54,20.783866849634084,1157.764404296875,0.0,0.0,0.9759535789489746
55,109.91687573435374,14647.1611328125,0.0,0.0,0.9761375784873962
56,134.78367637158465,18744.455078125,0.0,0.0,0.9762809872627258
57,64.95961184969164,6435.99072265625,0.0,0.0,0.9764866828918457
